year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2012,KANSAS,KS,20,47,32,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,440726,loss,1500 for ration card holders,clean US,free schoolbags,Zero tolerance approach to terrorism,free school bags for students,35%
2012,KANSAS,KS,20,47,32,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,20456,loss,wages for housework,scholarship for students in sc quota,pention for old age peoples,credit ?15 lakh in every citizen?s bank account,decreasing the bus fairs,36%
2012,KANSAS,KS,20,47,32,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",REFORM PARTY,5017,loss,healthy food for school students,cut of repayment of farmer loans,govt job to ladies,safety of USn journalists,green US,37%
2012,KANSAS,KS,20,47,32,US PRESIDENT,,,1138,loss,free babycare products to newly born babies,free mixers and grinders,Job to Youth 40%,reinforcing border security,yearly scholarship for students about 60% marks,38%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,1921290,win,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,40%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,1188314,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,39%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,30920,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,31%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"STEIN, JILL",GREEN-RAINBOW,20691,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,25%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,BLANK VOTE/SCATTERING,,16429,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,37%
2012,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,OTHER,,6552,loss,job to youth 40%,tourism development,cancel of education loan,hi-tech highways,gas pipeline plan,78%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,2564569,win,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,33%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,2115256,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,18%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"STEIN, JILL",GREEN,21897,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,15%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"GOODE, VIRGIL HAMLIN, JR.",U.S. TAXPAYERS PARTY,16119,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,18%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,,,7973,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,39%
2012,MICHIGAN,MI,26,34,23,US PRESIDENT,"ANDERSON, ROSS CARL """"ROCKY""""",NATURAL LAW,5147,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,12%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,4324228,win,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,17%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,2223397,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,13%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"ROMNEY, MITT",CONSERVATIVE,262035,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,12%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"OBAMA, BARACK H.",WORKING FAMILIES,147643,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,19%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,BLANK VOTE/VOID VOTE/SCATTERING,,63881,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,10%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,47092,loss,increasing the public toilets ,cancel of educatio loan,eradication of racisim,loan waiver to hotels ,gas pipeline plan,88%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"STEIN, JILL",GREEN,39856,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,20%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"GOODE, VIRGIL HAMLIN, JR.",CONSTITUTION PARTY,6270,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,38%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,"LINDSAY, PETA",SOCIALISM AND LIBERATION PARTY,2039,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,25%
2012,NEW YORK,NY,36,21,13,US PRESIDENT,,,343,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,21%
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,1318255,win,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,17%
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,729547,win,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,8%
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,44467,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,18%
2016,ALABAMA,AL,1,63,41,US PRESIDENT,,,21712,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,19%
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"STEIN, JILL",GREEN,9391,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,6%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,163387,win,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,29%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,116454,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,89%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,18725,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,28%
2016,ALASKA,AK,2,94,81,US PRESIDENT,,,9201,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,19%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"STEIN, JILL",GREEN,5735,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,38%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,3866,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free laptop,29%
2016,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",NO PARTY AFFILIATION,1240,win,repayment omission for gold loan,repayment omissiion for agriculture,cancel of education loan,gas pipeline,40% job to ladies,82%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,1252401,win,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,35%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,1161167,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,25%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,106327,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,36%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"STEIN, JILL",GREEN,34345,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,16%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,INDEPENDENT,17473,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,18%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,1058,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,38%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,NO PARTY AFFILIATION,311,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,39%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,DEMOCRAT,42,win,education empowerment,eradication of racisim,distribution of solar powered cooking stoves,introducing metro trains in 2nd level cities,women would get a 50 percent fare cut in town buses,89%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,29,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,26%
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"TITTLE, SHEILA """"SAMM""""",WE THE PEOPLE,12,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,19%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,684872,win,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,14%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,380494,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,37%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,29829,loss,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,18%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"MCMULLIN, EVAN",BETTER FOR AMERICA,13255,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,39%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"STEIN, JILL",GREEN,9473,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,30%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"HEDGES, JIM",PROHIBITION,4709,loss,repayment omission for gold loan,increase in maternity leave period ,gas pipeline,transportation services in rural areas,cancel of education loan,80%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,4613,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,40%
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"KAHN, LYNN S.",INDEPENDENT,3390,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,38%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,8753788,win,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,20%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,4483810,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,33%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,478500,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,19%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"STEIN, JILL",GREEN,278657,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,17%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,,,120739,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,14%
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,66101,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,11%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,1338870,win,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,35%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,1202484,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,19%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,144121,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,19%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"STEIN, JILL",GREEN,38437,loss,introducing metro trains in 2nd level cities,increasing the public toilets,repayment omission for agriculture loan,hi-tech highways,same ration card for all the states,89%
2016,COLORADO,CO,8,84,62,US PRESIDENT,SCATTERING,UNAFFILIATED,31485,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,10%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"CASTLE, DARRELL L.",AMERICAN CONSTITUTION PARTY,11699,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,39%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KENISTON, CHRIS",VETERANS PARTY OF AMERICA,5028,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,39%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,1255,loss,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,27%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN,1096,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,11%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"MALDONADO, JOSEPH ALLEN",INDEPENDENT PEOPLE OF COLORADO,872,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,19%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"MATUREN, MICHAEL A.",AMERICAN SOLIDARITY PARTY,862,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,39%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"SILVA, ROD",NUTRITION PARTY,751,loss,2 GB data free for college student,Monthly RS 1500 for household women's,Free laptop,6 LPG cylinders are free for a year,Free washing machine for each house,29%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",AMERICA'S PARTY,710,loss,Free bicycle,Free hospitalization,Distribution of solar-powered cooking stoves,Govt job to ladies ,Loan waiver to hotels ,38%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,531,loss,Monthly RS 1500 for household women's,Free washing machine for each house,Education Empowerment,Eradication of racisim,Free Education,34%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS,452,loss,Free laptop,Building concrete houses for people living in huts,2 GB data free for college student,Distribution of solar-powered cooking stoves,Free hospitalization,19%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KOTLIKOFF, LAURENCE",KOTLIKOFF FOR PRESIDENT,392,loss,Hi-Tech highways,Clean US,Gas pipeline plan,Indroducing Metro Trains in 2nd level cities,Job to Youth 40%,78%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"LYTTLE, BRADFORD",NONVIOLENT RESISTANCE/PACIFIST,382,loss,Monthly RS 1500 for household women's,Increase in the quota for women in government jobs to 40%,Women would get a 50% fare cut in town buses,Free bicycle,Govt job to ladies ,34%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"ATWOOD, FRANK",APPROVAL VOTING PARTY,337,loss,Free washing machine for each house,2 GB data free for college student,Monthly RS 1500 for household women's,Free hospitalization,Education Empowerment,25%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"EMIDIO """"MIMI"""", SOLTYSIK",SOCIALIST PARTY USA,271,loss,Repayment omission for gold loans,Decrease of tax,Loan waiver to hotels,government job to families without anyone in state service,Free laptop,18%
2016,COLORADO,CO,8,84,62,US PRESIDENT,"HEDGES, JAMES",PROHIBITION,185,loss,Monthly RS 1500 for household women's,2 GB data free for college student,Free hospitalization,Education Empowerment,Free bicycle,16%
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,897572,win,Building concrete houses for people living in huts,Repayment omission for gold loans,Eradication of racisim,Govt job to ladies ,Distribution of solar-powered cooking stoves,16%
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,673215,loss,Free education,Eradication of racisim,The financial assistance to the differently-abled would be increased,Increase in maternity leave period and assistance,Government job to families whitout anyone in state service,19%
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,48676,loss,Increasing the investment from foreign MNC'S,Transportational services in rural areas,Improvising USn economy to 5 trillion dollars,Same ration card for all the states,Decrease of petrol price,86%
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"STEIN, JILL",GREEN,22841,loss,Free hospitalization,Free laptop,Distribution of solar-powered cooking stoves,Loan waiver to hotels ,Eradication of racisim,26%
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,2616,loss,Free washing machine for each house,Free hospitalization,Monthly RS 1500 for household women's,Free Education,6 LPG cylinders are free for a year,40%
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,235603,win,Building concrete houses for people living in huts,Free bicycle,Increase in maternity leave period and assistance,Distribution of solar-powered cooking stoves,Govt job to ladies ,25%
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,185127,loss,2 GB data free for college student,Monthly RS 1500 for household women's,Same ration card for all the states,Education Empowerment,Building concrete houses for people living in huts,19%
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,14757,loss,Free bicycle,Free hospitalization,Transportational services in rural areas,Free washing machine for each house,Govt job to ladies ,15%
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"STEIN, JILL",GREEN,6103,loss,Job to youth 40%,Increaseing the public toilets facility,Women would get a 50% fare cut in town buses,Clean US,Cancel of education loan,89%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,282830,win,Transportation services in rual areas,Improving infrastructure in harbour ports,Same ration card for all the states,Free bicycle,Repayment omission for gold loan ,19%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,12723,loss,Free hospitalization,Transportation services in rual areas,Education Empowerment,Monthly RS 1500 for household women's,Improvising USn economy to 5 trillion dollars,36%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,6551,loss,Same ration card for all the states,Improving infrastructure in harbour ports,Free laptop,Govt job to ladies ,Indroducing Metro Trains in 2nd level cities,10%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,4906,loss,Improving infrastructure in harbour ports,2 GB data free for college student,Women would get a 50% fare cut in town buses,Distribution of solar-powered cooking stoves,Eradication of racisim,15%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"STEIN, JILL",GREEN,4258,loss,Free education,Increasing the investment from foreign MNC'S,Free hospitalization,Free washing machine for each house,Building concrete houses for people living in huts,27%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,BLANK VOTE,,1064,loss,Improving infrastructure in harbour ports,Same ration card for all the states,Free laptop,Improvising USn economy to 5 trillion dollars,Education Empowerment,23%
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,OVER VOTE,,243,loss,Transportation services in rual areas,Improving infrastructure in harbour ports,Free bicycle,Distribution of solar-powered cooking stoves,Govt job to ladies ,17%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,4617886,win,Monthly RS 1500 for household women's,Repayment omission for gold loans,Distribution of solar-powered cooking stoves,Free washing machine for each house,Free Education,37%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,4504975,loss,Hi-Tech highways,2 GB data free for college student,Free hospitalization,Same ration card for all the states,Increase in maternity leave period and assistance,28%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,207043,loss,Increase in maternity leave period and assistance,women would get a 50% fare cut in town buses,Gas pipeline plan,2 GB data free for college student,Cancel of education loan,79%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"STEIN, JILL",GREEN,64399,loss,Free hospitalization,Increaseing the public toilets facility,2 GB data free for college student,Improving infrastructure in harbour ports,Transportation services in rual areas,7%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,16475,loss,Distribution of solar-powered cooking stoves,Monthly RS 1500 for household women's,Increase in maternity leave period and assistance,Same ration card for all the states,Education Empowerment,14%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",REFORM PARTY,9108,loss,Job to youth 40%,Hi-Tech highways,Free laptop,Loan waiver to hotels ,Distribution of solar-powered cooking stoves,11%
2016,FLORIDA,FL,12,59,43,US PRESIDENT,,,153,loss,Education empowerment,tourism development,free education,Govt job to ladies ,Decrease of petrol price,34%
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,2089104,win,indroducing metro trains in 2nd level cities,Increasing the investment from foreign MNC'S,improving infrastructure in harbour ports,6 LPG cylinders are free for a year,Free washing machine for each house,32%
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,1877963,loss,Repayment omission for gold loans,Job to youth 40%,Education empowerment,indroducing metro trains in 2nd level cities,Free hospitalization,27%
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,125306,loss,Free laptop,Monthly RS 1500 for household women's,Hi-Tech highways,Free hospitalization,Distribution of solar-powered cooking stoves,7%
2016,GEORGIA,GA,13,58,44,US PRESIDENT,,,22359,loss,Hi-Tech highways,Free hospitalization,Distribution of solar-powered cooking stoves,Job to youth 40%,Education empowerment,5%
2016,HAWAII,HI,15,95,82,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,266891,win,2 GB data free for college student,women would get a 50% fare cut in town buses,Increaseing the public toilets facility,Monthly RS 1500 for household women's,Govt job to ladies ,19%
2016,HAWAII,HI,15,95,82,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,128847,loss,Free laptop,6 LPG cylinders are free for a year,Same ration card for all the states,Transportational services in rural areas,Free Education,19%
2016,HAWAII,HI,15,95,82,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,15954,loss,Hi-Tech highways,Free laptop,Free Education,Increase in maternity leave period and assistance,indroducing metro trains in 2nd level cities,89%
2016,HAWAII,HI,15,95,82,US PRESIDENT,"STEIN, JILL",GREEN,12737,loss,tourism development,Increase in maternity leave period and assistance,Free laptop,Hi-Tech highways,Job to youth 40%,28%
2016,HAWAII,HI,15,95,82,US PRESIDENT,BLANK VOTE,,8289,loss,Increasing the investment from foreign MNC'S,the financial assistance to the differently-abled would be increased,government jobs to families without anyone in state service,building concrete houses for people living in hurts,improving infrastructure in harbour ports,43%
2016,HAWAII,HI,15,95,82,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,4508,loss,the financial assistance to the differently-abled would be increased,Increasing the investment from foreign MNC'S,building concrete houses for people living in hurts,Increasing the investment from foreign MNC'S,Free bicycle,26%
2016,HAWAII,HI,15,95,82,US PRESIDENT,OVER VOTE,,438,loss,6 LPG cylinders are free for a year,building concrete houses for people living in hurts,Increasing the investment from foreign MNC'S,improving infrastructure in harbour ports,government jobs to families without anyone in state service,37%
2016,IDAHO,ID,16,82,63,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,409055,win,Increaseing the public toilets facility,Free laptop,Free hospitalization,Free bicycle,Monthly RS 1500 for household women's,29%
2016,IDAHO,ID,16,82,63,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,189765,loss,6 LPG cylinders are free for a year,Women would get a 50% fare cut in town buses,Education Empowerment,Hi-Tech highways,Improving infrastructure in harbour ports,79%
2016,IDAHO,ID,16,82,63,US PRESIDENT,"MCMULLIN, EVAN",INDEPENDENT,60748,loss,Hi-Tech highways,Education Empowerment,Women would get a 50% fare cut in town buses,6 LPG cylinders are free for a year,Free laptop,38%
2016,IDAHO,ID,16,82,63,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,28331,loss,Loan waiver to hotels ,Govt job to ladies ,Free hospitalization,Job to youth 40%,Monthly RS 1500 for household women's,19%
2016,IDAHO,ID,16,82,63,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,2356,loss,Same ration card for all the states,Improving infrastructure in harbour ports,Free education,2 GB data free for college student,Free washing machine for each house,16%
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,3090729,win,GAS pipeline plan,Transportation services in rual areas,indroducing metro trains in 2nd level cities,tourism development,government jobs to families without anyone in state service,90%
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,2146015,loss,Govt job to ladies ,Improving infrastructure in harbour ports,Transportation services in rual areas,Free education,Women would get a 50% fare cut in town buses,18%
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,209596,loss,6 LPG cylinders are free for a year,Women would get a 50% fare cut in town buses,Education Empowerment,Hi-Tech highways,Govt job to ladies ,18%
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,"STEIN, JILL",GREEN,76802,loss,Clean US,Decrease of petrol price,building concrete houses for people living in hurts,6 LPG cylinders are free for a year,Free laptop,16%
2016,ILLINOIS,IL,17,33,21,US PRESIDENT,,,13282,loss,Free hospitalization,Hi-Tech highways,Same ration card for all the states,improving infrastructure in harbour ports,distribution of solar-powered cooking stoves,4%
